company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
BRIGHSTONE LANDSCAPING LIMITED,03641380,Active,Private limited company,,,1998-09-30,,,81300,"Unit 3 Porchfield Business Park Newport PO30 4QB "
MEADOW VIEW DEVELOPMENTS IW LIMITED,08926839,Active,Private limited company,,,2014-03-06,,,41202,"16 Quay Street Newport PO30 5BG "
K COGHLAN PLANT AND TRANSPORT LIMITED,06839756,Active,Private limited company,,,2009-03-06,,,77320,Pound Cottage Pound Lane Calbourne Newport PO30 4JX England
NEEDLES PLEASURE CRUISES LIMITED,05423270,Active,Private limited company,,,2005-04-13,,,50100,"Cobblers Main Road Bouldnor Yarmouth PO41 0UR "
VICTORY YARD LIMITED,02207867,Active,Private limited company,,,1987-12-23,,,68209,"Unit 10a Medina Court Arctic Road Cowes PO31 7XD "
MATRIX ESSENTIAL TRAINING ALLIANCE LIMITED,03959853,Active,Private limited company,,,2000-03-30,,,85590,Mulberry Lawn Quay Lane Brading Sandown PO36 0AT England
BEMBRIDGE PROPERTY DEVELOPMENTS LIMITED,05093626,Active,Private limited company,,,2004-04-05,,,68209,"Exchange House St. Cross Lane Newport PO30 5BZ "
FEZ ELECTRICAL LTD,14674855,Active,Private limited company,,,2023-02-19,,,43210,54 North Road Shanklin PO37 6DE England
FROGHILL AT SANDFORD LIMITED,04703633,Active,Private limited company,,,2003-03-19,,,47710,"Froghill Farm, Sandford Ventnor Isle Of Wight PO38 3AN "
DOUG SOLUTIONS IW LTD,15276193,Active,Private limited company,,,2023-11-10,,,70229 98000,5 Holyrood Street Newport PO30 5AU United Kingdom
OASIS INTERIOR LANDSCAPES LIMITED,03255295,Active,Private limited company,,,1996-09-26,,,47789,"3 Garfield Road Ryde Isle Of Wight PO33 2PS "
ONWARD DEVELOPMENTS IOW LIMITED,12039096,Active,Private limited company,,,2019-06-07,,,41100,Unit 4 Onward Business Hub College Close Sandown PO36 8EB United Kingdom
DEES SCAFFOLD LIMITED,13920045,Active,Private limited company,,,2022-02-16,,,43991,9 St Johns Place Newport PO30 1LH United Kingdom
HTP APPRENTICESHIP COLLEGE LTD,03949579,Active,Private limited company,,,2000-03-16,,,85320,The Old Grammar School 118-119 St. James Street Newport PO30 5HE England
THISTLE DESIGN ASSOCIATES LIMITED,04808131,Active,Private limited company,,,2003-06-23,,,43999,"7 Ashey View Merrie Gardens Sandown PO36 9QA "
PERSONAL TOUCH HOME MAINTENANCE LTD,15285452,Active,Private limited company,,,2023-11-15,,,43320 43341 43390 81100,5 Holyrood Street Newport PO30 5AU United Kingdom
FALCON CROSS MANAGEMENT LTD,16090452,Active,Private limited by guarantee without share capital,,,2024-11-20,,,98000,6 Falcon Cross Road Shanklin PO37 7LA United Kingdom
CREEK GARDENS MANAGEMENT LIMITED,05279072,Active,Private limited company,,,2004-11-05,,,98000,"John Rowell Estate Management The Estate Office, Church Mews Whippingham PO32 6LW "
OPAL HOLIDAYS LIMITED,10974854,Active,Private limited company,,,2017-09-21,,,99999,Office 4 Baring Chambers Denmark Road Cowes PO31 7SY England
BA HOLDINGS AND INVESTMENTS LIMITED,13134798,Active,Private limited company,,,2021-01-14,,,64209,1 Langley Court Pyle Street Newport PO30 1LA England
INTEGRUM GROUP LIMITED,13138603,Active,Private limited company,,,2021-01-18,,,66290,1 Langley Court Pyle Street Newport PO30 1LA England
REX HOUSE (VENTNOR) LIMITED,05999472,Active,Private limited company,,,2006-11-15,,,98000,8 Gunville Road Newport PO30 5LB England
TAYLA CREATIVE LTD,11678309,Active,Private limited company,,,2018-11-14,,,74100,"Downs Way Morton Old Road Brading Sandown PO36 0EW "
WIGHT & WESSEX WINES LIMITED,11581491,Active,Private limited company,,,2018-09-21,,,46342,The Barn Niton Manor Farm Blackgang Road Niton PO38 2BW England
PELLHURST MANAGEMENT SERVICES LIMITED,04753418,Active,Private limited company,,,2003-05-06,,,98000,"16c Sandown Road Lake Sandown Isle Of Wight PO36 9JP "
DIG FOR VINTAGE LTD,08404444,Active,Private limited company,,,2013-02-15,,,47890 47910,"Brookfield New Road Brighstone Newport PO30 4BP "
MANSE SECRETARIAL SERVICES LIMITED,07867040,Active,Private limited company,,,2011-12-01,,,84110,East Quay Kite Hill Wootton Bridge PO33 4LA England
FAMILY ECHOES LTD,08399174,Active,Private limited company,,,2013-02-12,,,96090,"3 Stewart Court Orchard Close Freshwater PO40 9BQ "
BRITISH POWERBOAT RACING CLUB LIMITED,04126599,Active,Private limited by guarantee without share capital,,,2000-12-12,,,82990,"83 High Street Cowes Isle Of Wight PO31 7AJ "
KENSINGTON HEALTH CARE LIMITED,03278983,Active,Private limited company,,,1996-11-15,,,87100,"Old Charlton House 69 Baring Road Cowes Isle Of Wight PO31 8DW "
BEN DHU MANAGEMENT COMPANY LIMITED,03705435,Active,Private limited company,,,1999-02-01,,,68320,"Flat B 17 Dover Street Ryde PO33 2AQ "
WIGHT ROOTS AND RENTALS LTD,16081042,Active,Private limited company,,,2024-11-14,,,68100 68209,Vision Accounting Fortis House Cothey Way Ryde PO33 1QT United Kingdom
MICORE SOLUTIONS LIMITED,09576565,Active,Private limited company,,,2015-05-06,,,82110,69 St Johns Road Newport PO30 1LW United Kingdom
PORT LA SALLE MANAGEMENT LIMITED,02990923,Active,Private limited company,,,1994-11-16,,,98000,8 Gunville Road Newport PO30 5LB England
HAMPSHIRE & ISLE OF WIGHT OPPORTUNITY SOCIETY LIMITED,04101449,Active,Private limited by guarantee without share capital,,,2000-11-02,,,82990,"Unit S1, Branstone Business Park Unit S1, Branstone Business Park Stockmans Close Branstone PO36 0EQ United Kingdom"
HIGHBURY (ISLE OF WIGHT) MANAGEMENT COMPANY LIMITED,02557592,Active,Private limited company,,,1990-11-12,,,98000,"The Estate Office Church Mews, Whippingham Isle Of Wight PO32 6LW "
ST GEORGES TERRACE MANAGEMENT COMPANY LIMITED,02008502,Active,Private limited by guarantee without share capital,,,1986-04-09,,,98000,"The Estate Office Church Mews Whippingham East Cowes PO32 6LW "
CALLVENDALE HOUSE MANAGEMENT CO LIMITED,02161034,Active,Private limited company,,,1987-09-03,,,98000,"60-66 Lugley Street Newport PO30 5EU "
THE CARPET COMPANY OF LONDON LIMITED,08476777,Active,Private limited company,,,2013-04-08,,,47530,Exchange House St. Cross Lane Newport PO30 5BZ United Kingdom
JAREN PROPERTY LTD,12290711,Active,Private limited company,,,2019-10-30,,,68100 68209,Unit A6/A8 Spithead Business Centre Newport Road Sandown PO36 9PH England
CUNNINGHAM MARINE LTD,13918733,Active,Private limited company,,,2022-02-16,,,33150,11b Clarence Boatyard Clarence Road East Cowes PO32 6ET United Kingdom
MEGA YACHT SOLUTIONS LIMITED,07130382,Active,Private limited company,,,2010-01-19,,,82990,Shalfleet House Main Road Newport PO30 4NS England
WHITEFIELD NOMINEES LIMITED,03370666,Active,Private limited company,,,1997-05-14,,,66190,2 New Road Brading Sandown PO36 0DT England
EASTMORE COURT MANAGEMENT LIMITED,03274455,Active,Private limited by guarantee without share capital,,,1996-11-06,,,98000,"8 Gunville Road Newport PO30 5LB "
GENIE GAS & PLUMBING LIMITED,09834786,Active,Private limited company,,,2015-10-21,,,43220,Exchange House St Cross Lane Newport PO30 5BZ England
LOBSTER HR LIMITED,13995688,Active,Private limited company,,,2022-03-22,,,56101,East Quay Kite Hill Wootton Bridge PO33 4LA England
WATER MILL VACATIONS LTD,13979590,Active,Private limited company,,,2022-03-16,,,55209,Calbourne Water Mill Westover Calbourne Newport PO30 4JN United Kingdom
KIDS & CO. CLOTHING LTD,06880312,Active,Private limited company,,,2009-04-17,,,47710,"16c Sandown Road Lake PO36 9JP "
OAKLYN GARDENS LIMITED,12516102,Active,Private limited company,,,2020-03-13,,,56101,7 Regent Street Shanklin PO37 7AF United Kingdom
SOLENT CRUISES LIMITED,03667197,Active,Private limited company,,,1998-11-13,,,50100,Thetis Wharf Medina Road Cowes PO31 7BX England
WESTMINSTER JOINERY (ISLE OF WIGHT) LTD,04874048,Active,Private limited company,,,2003-08-21,,,16230 43320,"Exchange House St. Cross Lane Newport PO30 5BZ "
VISUAL IMPACT IOW LIMITED,09848231,Active,Private limited company,,,2015-10-29,,,47710,21 Holyrood Street Newport PO30 5AZ England
DIGITAL YURT LIMITED,11148479,Active,Private limited company,,,2018-01-15,,,62012 62020,50a Spencer Road Ryde PO33 3AD United Kingdom
M JONES ARBORIST CONSULTANCY IW LTD,09965165,Active,Private limited company,,,2016-01-22,,,74909,42 West Street Newport PO30 1PR England
ARABIAN LODGE MANAGEMENT COMPANY LIMITED,03659468,Active,Private limited company,,,1998-10-30,,,98000,"The Estate Office Church Mews Beatrice Avenue Whippingham East Cowes PO32 6LW "
JOURNEYS ELITE LIMITED,04633262,Active,Private limited company,,,2003-01-10,,,79110,43 Leeson Road Ventnor PO38 1PS England
FINEEN LIMITED,03015760,Active,Private limited company,,,1995-01-30,,,96090,"Brook House Park Avenue Ventnor PO38 1LE "
ISLAND CAR CENTRE LIMITED,08754512,Active,Private limited company,,,2013-10-30,,,45112,East Quay Kite Hill Wootton Hill PO33 4LA England
MBJ MOTOR FACTORS LIMITED,04345488,Active,Private limited company,,,2001-12-27,,,45310,"16c Sandown Road Lake Isle Of Wight PO36 9JP "
ISLAND SHEETMETAL LIMITED,04570733,Active,Private limited company,,,2002-10-23,,,25110,29 Daish Way Newport PO30 5XJ England
SANDROCK SERVICES LIMITED,03121118,Active,Private limited company,,,1995-11-02,,,82990,"Unit 10, Hurstake Road Riverbank, Little London Newport PO30 5UU England"
VILLAGE INN 1787 LIMITED,15526922,Active,Private limited company,,,2024-02-27,,,56302,Ye Olde Village Inn 61 High Street Bembridge PO35 5SF United Kingdom
FORD SEARCH PARTNERS LTD,14528191,Active,Private limited company,,,2022-12-07,,,78300,Vision Accounting Cothey Way Ryde PO33 1QT England
BELLA GRACE DESIGN LTD,15289102,Active,Private limited company,,,2023-11-16,,,74100,Vision Accounting Fortis House Cothey Way Ryde PO33 1QT United Kingdom
ACCUDYNE EUROPE LIMITED,11215870,Active,Private limited company,,,2018-02-20,,,26512 26514 28990 62012,"9 St Johns Place Newport PO30 1LH "
INDEFATIGABLE VENTURES LIMITED,16091802,Active,Private limited company,,,2024-11-20,,,70229,Vale House . Stanhope Drive Cowes PO31 8BH United Kingdom
SOLENT COMPOSITE SOLUTIONS LIMITED,11821315,Active,Private limited company,,,2019-02-12,,,22290,Unit 8 Broadfields Park Seaview Road Cowes PO31 7US England
ELECTRIC PLANET LLP,OC323201,Active,Limited liability partnership,,,2006-10-16,,," ",7 Prospect Business Centre Prospect Road Cowes PO31 7AD England
R 'N' J GARDEN CONSTRUCTION LTD,09498734,Active,Private limited company,,,2015-03-19,,,81300,Olive Cottage Carpenters Road St. Helens Ryde PO33 1YQ United Kingdom
NORTHWOOD PAYROLL SERVICES LIMITED,03863128,Active,Private limited company,,,1999-10-21,,,69201,"10 Nunwell Street Sandown PO36 9DE "
SEAVIEW SERVICES LIMITED,15308457,Active,Private limited company,,,2023-11-24,,,49390,Innovation Centre Monks Brook Newport PO30 5WB United Kingdom
NOVUS RETAIL SOLUTIONS LTD,16095576,Active,Private limited company,,,2024-11-22,,,31010,Tremore Cottage Main Road Shorwell PO30 3JL United Kingdom
HAZELL ELECTRICAL LTD,11944517,Active,Private limited company,,,2019-04-13,,,43210,Olive Cottage Carpenters Road St Helens PO33 1YQ England
MFJ INDUSTRIAL PROPERTIES LTD,12999959,Active,Private limited company,,,2020-11-05,,,68209,9 St John's Place Newport Isle Of Wight PO30 1LH United Kingdom
VISION ACCOUNTING LTD,12312771,Active,Private limited company,,,2019-11-13,,,69201,Vision Accounting Cothey Way Ryde PO33 1QT England
SIGNATURE AGENCY LIMITED,11278702,Active,Private limited company,,,2018-03-27,,,73110,29 Godric Road Newport PO30 2FP England
SAMELS LIMITED,04643186,Active,Private limited company,,,2003-01-21,,,56103,"21 Clarence Road East Cowes Isle Of Wight PO32 6EP "
COWES FRINGE LTD,14433592,Active,Private limited company,,,2022-10-20,,,90010,61 Mill Hill Road Cowes PO31 7EQ England
J M PROJECTS (IOW) LIMITED,09733171,Active,Private limited company,,,2015-08-14,,,43320,3 Garfield Road Ryde PO33 2PS United Kingdom
THE STRONG ROOM IOW LIMITED,10609712,Active,Private limited company,,,2017-02-08,,,93130,East Quay Kite Hill Wootton Bridge PO33 4LA England
T2 DESIGN SERVICES LIMITED,14332969,Active,Private limited company,,,2022-09-02,,,71129 74100,5 Aspen Gardens Ryde PO33 1RE England
LOVE RUNNING LIMITED,07400769,Active,Private limited company,,,2010-10-08,,,47640 47721,"52 St. James Street Newport PO30 1LQ "
CAVENDISH CONWAY LTD,13741234,Active,Private limited company,,,2021-11-12,,,96090,"Sandham Court, Apartment 3 Nunwell Street Sandown PO36 9FF United Kingdom"
BEAUTY SPOT (IW) LIMITED,07469154,Active,Private limited company,,,2010-12-14,,,96090,East Quay Kite Hill Wootton Bridge PO33 4LA United Kingdom
W.C. MANAGEMENT COMPANY (SHANKLIN) LIMITED,02431429,Active,Private limited company,,,1989-10-11,,,99999,"9 St. Johns Place Newport PO30 1LH "
GLEBE COURT AND RECTORY DRIVE RTM COMPANY LIMITED,07452698,Active,Private limited by guarantee without share capital,,,2010-11-26,,,98000,"The Estate Office Church Mews Whippingham PO32 6LW "
THE LANTERNIANS LTD,12516788,Active,Private limited by guarantee without share capital,,,2020-03-13,,,98000,Olive Cottage Carpenters Road St. Helens Ryde PO33 1YQ England
MICUTAT LTD,15205016,Active,Private limited company,,,2023-10-11,,,45200,Flat 4 Royal Garden Apartment Beachfield Road Isle Of Wight PO36 8ND United Kingdom
NEWSTELL HOLDINGS LIMITED,16039102,Active,Private limited company,,,2024-10-24,,,64209,Ifpl Elm Lane Calbourne Newport PO30 4JY United Kingdom
BROOKEY (I W) LIMITED,11037218,Active,Private limited company,,,2017-10-30,,,46320 47220,Exchange House St Cross Lane Newport PO30 5BZ England
FIDES HOLDINGS LTD,12892952,Active,Private limited company,,,2020-09-21,,,68209,Exchange House St Cross Lane Newport PO30 5BZ England
"ST MARY'S ABBEY, QUARR",09806062,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2015-10-02,,,94910,"Quarr Abbey Quarr Road Ryde PO33 4ES "
MORTON MEWS MANAGEMENT LIMITED,04930793,Active,Private limited company,,,2003-10-14,,,98000,"The Estate Office Beatrice Avenue Church Mews East Cowes PO32 6LW "
VECTIS AGENTS LTD,09484532,Active,Private limited company,,,2015-03-11,,,68320,Mirables Cottage Undercliff Drive Ventnor PO38 1XZ England
WISHFUL VISIONS LIMITED,04119394,Active,Private limited company,,,2000-12-04,,,82990,Vision Accounting Fortis House Cothey Way Ryde PO33 1QT England
ST HELENS SERVICE STATION (ISLE OF WIGHT) LIMITED,04635958,Active,Private limited company,,,2003-01-14,,,45200,Exchange House St. Cross Lane Newport PO30 5BZ United Kingdom
NORTHCLIFF GARDENS RESIDENTS COMPANY LIMITED,04088810,Active,Private limited company,,,2000-10-12,,,98000,"The Estate Office Church Mews, Beatrice Avenue Whippingham, East Cowes PO32 6LW "
KIRKPATRICK COMMERCIAL PROPERTY LIMITED,03931162,Active,Private limited company,,,2000-02-22,,,68209,3 Old School Place Gurnard PO31 8EZ England
FOREST WALK (WHITELEY) MANAGEMENT COMPANY LIMITED,13897556,Active,Private limited by guarantee without share capital,,,2022-02-07,,,98000,Granary Court 128 Pyle Street Newport PO30 1JW United Kingdom
VECTIS DEVELOPMENTS LTD,07337433,Active,Private limited company,,,2010-08-05,,,41100,44 Place Road Cowes PO31 7UB England
KATON INGRAM HOLDINGS IW LIMITED,09382526,Active,Private limited company,,,2015-01-09,,,64209,Vittlefields Technology Centre Forest Road Newport PO30 4LY United Kingdom
BARTLETTS BUILDING AND ROOFING CONTRACTORS LIMITED,04568565,Active,Private limited company,,,2002-10-21,,,43210 43910,"Exchange House St. Cross Lane Newport PO30 5BZ "
JPC DEMOLITION LLP,OC336035,Active,Limited liability partnership,,,2008-03-31,,," ",Unit 2 Pritchetts Way Rookley Ventnor PO38 3LT England
DUNCAN YACHTING LIMITED,05643108,Active,Private limited company,,,2005-12-02,,,52220,"Exchange House St. Cross Lane Newport PO30 5BZ "
I.W. HOME RENTALS LIMITED,05778320,Active,Private limited company,,,2006-04-12,,,68209,44 Place Road Cowes PO31 7UB England
CHAOTIC CHANGE LIMITED,07949580,Active,Private limited company,,,2012-02-14,,,70229,"Stonecroft Gully Road Seaview PO34 5BY "
THE CAMBRIA MANAGEMENT LIMITED,05331179,Active,Private limited company,,,2005-01-13,,,98000,16 Clarence Gardens Shanklin PO37 6HA United Kingdom
PRIORY ASSET GROUP HOLDINGS LTD,11800645,Active,Private limited company,,,2019-01-31,,,43290,Uk Office Marinus Medina Road Cowes PO31 7XF England
IOW HOLIDAY LETTINGS LIMITED,12040196,Active,Private limited company,,,2019-06-10,,,68320,61 Marlborough Road Ryde PO33 1AF England
SCUDDER PROPERTIES LIMITED,14759510,Active,Private limited company,,,2023-03-27,,,68100 68201 68209 68320,The Laurels Dodnor Lane Newport PO30 5JN England
RP 602 LIMITED,07177356,Active,Private limited company,,,2010-03-04,,,68201,"3 Garfield Road Ryde PO33 2PS "
WAYNE ISAACSON TREE CONSULTANCY LTD,09795446,Active,Private limited company,,,2015-09-25,,,74901,Glenrae Main Road Wellow Yarmouth Isle Of Wight PO41 0TE United Kingdom
HARBOUR PUBS IW LIMITED,12800401,Active,Private limited company,,,2020-08-07,,,56302,1 Langley Court Pyle Street Newport PO30 1LA United Kingdom
SENATOR PLANT HIRE LIMITED,01061564,Active,Private limited company,,,1972-07-14,,,68209,"16c Sandown Road Lake Isle Of Wight PO36 9JP "
BARNES BABYSITTERS LIMITED,12875241,Active,Private limited company,,,2020-09-13,,,88990,Little Gables High Street Godshill Ventnor PO38 3HH United Kingdom
FORT REDOUBT HOLIDAYS LIMITED,14593541,Active,Private limited company,,,2023-01-16,,,55209,Fort Redoubt Freshwater Bay Freshwater PO40 9QZ United Kingdom
MCCARTHYS BAR AND RESTAURANT LTD,12796138,Active,Private limited company,,,2020-08-06,,,56101,95 Avenue Road Sandown PO36 8DZ United Kingdom
ERLING'S ORIGINAL LIQUORICE CO. LLP,OC323100,Active,Limited liability partnership,,,2006-10-10,,," ","Ravensbourne 7 Arthurs Hill Shanklin PO37 6EW "
SCL FIRE PROTECTION LTD,13794108,Active,Private limited company,,,2021-12-10,,,43290,Stonehams Yard Station Road Havenstreet Ryde PO33 4DT England
PILOT BOAT BEMBRIDGE LIMITED,16047363,Active,Private limited company,,,2024-10-29,,,56302,Pilot Boat Inn Station Road Bembridge PO35 5NN United Kingdom
ORION SHUTTLEWORTH DESIGN LIMITED,07551016,Active,Private limited company,,,2011-03-03,,,71129,East Quay Kite Hill Wootton Bridge PO33 4LA England
MADE & WORN LTD.,11142978,Active,Private limited company,,,2018-01-10,,,47910 62012,4 Hope Cottages Upper Green Road St. Helens Ryde PO33 1UJ England
ONWARD GROUP HOLDINGS LIMITED,13581093,Active,Private limited company,,,2021-08-24,,,64209,Unit 4 Onward Business Hub College Close Sandown PO36 8EB United Kingdom
BUDBRIDGE PROPERTY INVESTMENTS LIMITED,10590351,Active,Private limited company,,,2017-01-30,,,68209,Bridge House Budbridge Lane Merstone Newport PO30 3DH United Kingdom
FUNKON LTD,09970879,Active,Private limited company,,,2016-01-26,,,47990,Exchange House St Cross Lane Newport PO30 5BZ England
STREET AUTOMOTIVE LTD,14629503,Active,Private limited company,,,2023-01-31,,,45320,Macketts Farm Macketts Lane Newport PO30 3AS United Kingdom
VAJRA SKY LTD,10681913,Active,Private limited company,,,2017-03-21,,,85590,Arnold House 2 New Road Brading PO36 0DT England
SARAH B YOGA LTD,13153739,Active,Private limited company,,,2021-01-25,,,85510,Arnold House 2 New Road Brading Sandown PO36 0DT United Kingdom
MARINE DATA SYSTEMS LIMITED,05288800,Active,Private limited company,,,2004-11-17,,,26110,Vittlefields Technology Centre Forest Road Newport PO30 4LY United Kingdom
YB CONSULTANCY LIMITED,09388357,Active,Private limited company,,,2015-01-14,,,82990,Grove House 37 Victoria Avenue Shanklin PO37 6LT England
CROWNPARK MANAGEMENT SERVICES LIMITED,11274478,Active,Private limited company,,,2018-03-26,,,70229,St. Georges Down Blackwater Newport PO30 3BX United Kingdom
CRANMORE CONSTRUCTION (IOW) LTD,15541779,Active,Private limited company,,,2024-03-05,,,01500,Arnold House 2 New Road Brading Sandown PO36 0DT United Kingdom
RMA SPORTS INJURY CLINIC LTD,12060040,Active,Private limited company,,,2019-06-19,,,86900,10 Lugley Street Newport PO30 5HD United Kingdom
JACKS OF RYDE LIMITED,09342442,Active,Private limited company,,,2014-12-05,,,96020,4a Belvedere Street Ryde PO33 2JN England
ISLAND DISTILLERY LIMITED,13298452,Active,Private limited company,,,2021-03-29,,,68209,The Wishing Well Pondwell Hill Ryde PO33 1PX England
LOFT PROPERTIES LIMITED,11690984,Active,Private limited company,,,2018-11-22,,,41201 41202 68209 82990,"The Loft @ Granary Court 128 Pyle Street Newport PO30 1JW "
ORNAMENTAL PLASTICS CO. LTD,16120474,Active,Private limited company,,,2024-12-05,,,99999,C/O Roofstore (P&P) Limited Riverway Newport PO30 5UX United Kingdom
J & B WHOLESALE LTD,11826408,Active,Private limited company,,,2019-02-14,,,46380,J & B Wholesale Clifton Buildings Avenue Road Freshwater PO40 9UT United Kingdom
SLECKTLIVE PROPERTY MANAGEMENT LIMITED,11200552,Active,Private limited company,,,2018-02-12,,,96090,47 Fairfield Gardens Sandown PO36 9EZ United Kingdom
PTR CONSULTING ENGINEERS LTD,08004371,Active,Private limited company,,,2012-03-23,,,71111,"16c Sandown Road Lake PO36 9JP "
SANGJAN & BACK LIMITED,05289908,Active,Private limited company,,,2004-11-18,,,56101,83 High Street Shanklin PO37 6NR England
SAILOR TED AND SHIPMATES LIMITED,06113898,Active,Private limited company,,,2007-02-19,,,47610,"2 The Square Yarmouth PO41 0NS "
THE ISLAND HAMPER COMPANY LIMITED,09993408,Active,Private limited company,,,2016-02-08,,,10840,Medham Farm Medham Farm Lane Cowes PO31 8PH England
VECTIS BUILDING SERVICES LIMITED,07523861,Active,Private limited company,,,2011-02-09,,,43390,East Quay Kite Hill Wootton Bridge PO33 4LA United Kingdom
ISLAND ESCAPES LTD,13906674,Active,Private limited company,,,2022-02-10,,,55209,"Mandalay , The Grove (Off Kings Rd) Bembridge PO35 5AE United Kingdom"
CLINICAL MOBILITY CONSULTANCY LTD,12441522,Active,Private limited company,,,2020-02-04,,,86900,21 Tollgate Bungalows Duver Road Seaview PO34 5AJ England
SMART ISLAND DEVELOPMENTS LTD,08966853,Active,Private limited company,,,2014-03-31,,,41202,"16c Sandown Road Sandown PO36 9JP "
CAMDEN COURT (RYDE) MANAGEMENT CO LIMITED,04169956,Active,Private limited company,,,2001-02-28,,,98000,30 Chatfield Lodge Newport PO30 1XR England
FAIRFIELDS EQUESTRIAN LIMITED,13198901,Active,Private limited company,,,2021-02-12,,,82990,East Quay Kite Hill Wootton Bridge PO33 4LA England
BRADING ROMAN VILLA TRUST,04667573,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2003-02-17,,,85200 85410 91020 91030,"Brading Roman Villa Morton Old Road Brading PO36 0EN "
THE WHANAU PROJECT LIMITED,13792407,Active,Private limited company,,,2021-12-09,,,55100,"Holliers Hotel 3, Church Road Shanklin PO37 6NU England"
DINELEY LTD,08950378,Active,Private limited company,,,2014-03-20,,,47990,9 The Strand The Strand Ryde PO33 1JD England
ACA PROPERTIES LTD,06831740,Active,Private limited company,,,2009-02-27,,,68310,"The Dolphins 119 Sea Close Augusta Road Ryde PO33 3AU "
36 & 38 CLIFF ROAD MANAGEMENT COMPANY LIMITED,02923820,Active,Private limited company,,,1994-04-28,,,68209,"Tara House 437, Newport Road Cowes Isle Of Wight PO31 8PS "
IOWSOLAR SYSTEMS LTD,14724374,Active,Private limited company,,,2023-03-13,,,43290,16c Sandown Road Lake Sandown PO36 9JP England
CALIBRE BUILDING CONTRACTOR LTD,07962364,Active,Private limited company,,,2012-02-23,,,43390,Black Cottage Littletown Lane Wootton Bridge Ryde PO33 4RR England
LANDGUARD MANOR MANAGEMENT LIMITED,06421205,Active,Private limited by guarantee without share capital,,,2007-11-07,,,74909,Kingsmead Watery Lane Newchurch Sandown PO36 0LX England
BEN GRAHAM JONES LTD,15341735,Active,Private limited company,,,2023-12-11,,,70229,The Round House 233 Fairlee Road Newport PO30 2JU United Kingdom
HOWELL PAINTING AND DECORATING LTD,13786540,Active,Private limited company,,,2021-12-07,,,43330 43341,Vision Accounting Fortis House Cothey Way Ryde PO33 1QT England
WIGHT LIFESTYLE LIMITED,10037326,Active,Private limited company,,,2016-03-02,,,63990,8 Southfield Gardens Ryde PO33 3EE England
JOSEPH HOWARD LTD,04922137,Active,Private limited company,,,2003-10-06,,,68100 68209 96090,22 Grange Road Shanklin PO37 6NN England
THE CASTLE INN (NEWPORT) LIMITED,11684333,Active,Private limited company,,,2018-11-19,,,56101,The Estate Office Avenue Road Freshwater PO40 9UT England
THE COUPLE CONSULTANCY LTD,11875590,Active,Private limited company,,,2019-03-12,,,85590,Arnold House 2 New Road Brading Sandown PO36 0DT England
GODSHILL HOMES LIMITED,11068938,Active,Private limited company,,,2017-11-17,,,68100,Trigg House Monks Brook St Cross Business Centre Newport PO30 5WB England
FRIENDS OF THE UMBRELLA TREE LTD,11899588,Active,Private limited by guarantee without share capital,,,2019-03-22,,,94990,44 Grange Road East Cowes PO32 6DZ United Kingdom
T&V SERVICES LIMITED,13194668,Active,Private limited company,,,2021-02-11,,,69109,2 Crockers Cottages Pallance Gate Newport PO30 5UA United Kingdom
WINDMILLS PRESCHOOL LIMITED,04977468,Active,Private limited by guarantee without share capital,,,2003-11-26,,,85100,"Preschool Unit Walls Road Bembridge PO35 5RH "
COSMEDICA BEAUTY LIMITED,09493694,Active,Private limited company,,,2015-03-17,,,82990,Cosmedica Clinics Weavers Yard Lane End Road Bembridge PO35 5US United Kingdom
ISLAND CRANE HIRE (IOW) LIMITED,06424728,Active,Private limited company,,,2007-11-12,,,74990,Comers Mill Forest Road Newport PO30 5LY England
INVEST IW LTD,09074442,Active,Private limited company,,,2014-06-06,,,99999,"Unit 52, Branstone Business Park Stockmans Close Branstone Sandown PO36 0EQ England"
ISLAND VACATIONS LTD,14001748,Active,Private limited company,,,2022-03-25,,,41100,Mandalay The Grove Bembridge PO35 5AE United Kingdom
RDJ INVESTMENTS LIMITED,07610702,Active,Private limited company,,,2011-04-20,,,56101,Gods Providence House 12 St. Thomas' Square Newport PO30 1SL England
LOTUS JEWEL LIMITED,04655011,Active,Private limited company,,,2003-02-03,,,74909,"Pear Tree Cottage Circular Road Seaview PO34 5ET "
HANSLIP ASPHALTING LIMITED,02170003,Active,Private limited company,,,1987-09-29,,,42110,"Monks Brook St Cross Business Park Newport PO30 5WN "
JIM PRITCHARD LIMITED,03755593,Active,Private limited company,,,1999-04-21,,,70100,"Exchange House, St. Cross Lane Newport Isle Of Wight PO30 5BZ "
BIJOU HAIRDRESSING IW LTD,07949288,Active,Private limited company,,,2012-02-14,,,96020,"13 Lugley Street Newport PO30 5HD "
V A WARREN & SON LIMITED,09986866,Active,Private limited company,,,2016-02-04,,,50100,Esplanade Esplanade Seaview PO34 5HB England
W.H. BRADING & SON LTD,01548859,Active,Private limited company,,,1981-03-05,,,43999,"30-32 Somerton Industrial Park Somerton Cowes PO31 8PA "
HARRIS DEVELOPMENTS LIMITED,05558024,Active,Private limited company,,,2005-09-08,,,55900,"Quarr Hill Cottage Quarr Hill Ryde PO33 4EH "
